Text,Timestamp,User,Platform,Retweets,Likes,Country,Year,Month,Engagement,Sentiment
 Sunday bike ride through scenic trails.           ,2023-02-01 13:30:00, BikeExplorer  , Instagram ,18.0,35.0, USA     ,2023,2,53.0,Neutral
 Can't believe the injustice happening in our society.,2023-02-11 09:30:00, SocialJustice   , Twitter  ,20.0,40.0, Canada     ,2023,2,60.0,Neutral
 Feeling a sense of fear after watching a thriller movie. ,2023-02-11 21:15:00, ThrillerFan     , Instagram ,15.0,30.0, USA          ,2023,2,45.0,Neutral
 Heartbroken after hearing the news about a natural disaster. ,2023-02-12 14:45:00, EmpathyFirst    , Facebook ,25.0,50.0, India      ,2023,2,75.0,Neutral
 The state of the world's environment is just disgusting. ,2023-02-12 18:20:00, EcoAwareness    , Twitter  ,18.0,35.0, UK         ,2023,2,53.0,Very Negative
 Pure happiness: celebrating a loved one's achievement! ,2023-02-13 10:00:00, ProudFriend     , Instagram ,30.0,60.0, USA ,2023,2,90.0,Very Positive
 Laughter is the best medicine—enjoying a comedy show. ,2023-02-13 19:30:00, ComedyFan       , Facebook ,22.0,45.0, Canada    ,2023,2,67.0,Very Positive
 Sharing love and positive vibes with everyone! ❤️      ,2023-02-14 08:30:00, LoveSpreader    , Twitter  ,15.0,30.0, Australia  ,2023,2,45.0,Positive
 An amusing incident brightened up my day!               ,2023-02-14 14:20:00, AmusedSoul      , Instagram ,18.0,35.0, UK           ,2023,2,53.0,Very Positive
 Enjoying a quiet evening with a book and some tea.      ,2023-02-14 19:45:00, BookLoverAgain  , Facebook ,25.0,50.0, Canada       ,2023,2,75.0,Positive
 Admiring the beauty of nature during a peaceful hike.   ,2023-02-15 11:30:00, NatureAdmirer   , Twitter  ,20.0,40.0, USA       ,2023,2,60.0,Positive
 Sending affectionate vibes to all my followers!          ,2023-02-15 16:00:00, AffectionSender , Instagram ,15.0,30.0,USA,2023,2,45.0,Neutral
 Experiencing awe at the breathtaking sunset.            ,2023-02-15 20:30:00, AweStruck       , Facebook ,22.0,45.0, Australia   ,2023,2,67.0,Very Positive
 Disappointed with the service at a local restaurant.    ,2023-02-16 09:00:00, FoodieGoneWrong , Twitter  ,18.0,35.0, India      ,2023,2,53.0,Negative
 A surprise gift from a friend made my day!              ,2023-02-16 14:45:00, HappySurprise   , Instagram ,25.0,50.0, USA          ,2023,2,75.0,Neutral
 Finding acceptance in the midst of life's challenges.   ,2023-02-16 18:20:00, AcceptanceSeeker, Facebook ,15.0,30.0, Canada     ,2023,2,45.0,Neutral
 Overflowing with adoration for my adorable pet! 🐾      ,2023-02-17 10:45:00, PetAdorer       , Twitter  ,22.0,45.0, UK        ,2023,2,67.0,Very Positive
 Anticipating a thrilling adventure in the coming weeks. ,2023-02-17 07:30:00, AdventureAwaits  , Instagram ,20.0,40.0,USA,2023,2,60.0,Positive
 A bitter experience turned into a valuable lesson.      ,2023-02-17 15:00:00, LearnFromBitter , Facebook ,18.0,35.0, USA       ,2023,2,53.0,Neutral
 Finding calmness in the midst of a busy day.            ,2023-02-18 09:30:00, ZenMaster       , Twitter  ,15.0,30.0, India     ,2023,2,45.0,Neutral
 Confusion clouds my mind as I navigate through decisions.,2023-02-18 14:20:00, ConfusedMind    , Instagram ,25.0,50.0, UK   ,2023,2,75.0,Neutral
 Excitement building up for the upcoming vacation!       ,2023-02-18 18:45:00, VacationDreamer , Facebook ,22.0,45.0, Canada    ,2023,2,67.0,Neutral
 Kindness witnessed today restored my faith in humanity. ,2023-02-19 11:30:00, KindnessPrevails, Twitter  ,20.0,40.0, USA       ,2023,2,60.0,Neutral
 Pride in achieving a personal milestone.               ,2023-02-19 16:00:00, PersonalAchiever, Instagram ,30.0,60.0, Australia    ,2023,2,90.0,Neutral
 A moment of shame for not standing up against injustice. ,2023-02-19 19:45:00, ReflectiveSelf  , Facebook ,15.0,30.0, India      ,2023,2,45.0,Neutral
 Fuming with anger after a heated argument.            ,2023-02-20 09:30:00, AngryDebater    , Twitter  ,20.0,40.0, Canada     ,2023,2,60.0,Very Negative
 The fear of the unknown is keeping me up at night.    ,2023-02-20 21:15:00, FearfulDreamer  , Instagram ,15.0,30.0, USA          ,2023,2,45.0,Neutral
 Heartfelt sadness after bidding farewell to a dear friend. ,2023-02-21 14:45:00, FarewellHeart   , Facebook ,25.0,50.0, India      ,2023,2,75.0,Neutral
 The state of corruption in our society is utterly disgusting. ,2023-02-21 18:20:00, AntiCorruption  , Twitter  ,18.0,35.0, UK         ,2023,2,53.0,Very Negative
 Overflowing happiness: welcoming a new family member!  ,2023-02-22 10:00:00, NewParentJoy    , Instagram ,30.0,60.0, UK           ,2023,2,90.0,Positive
 Laughter is the key to joy—attending a stand-up comedy show. ,2023-02-22 19:30:00, StandUpFan      , Facebook ,22.0,45.0, Canada    ,2023,2,67.0,Neutral
 Sending love to all my followers on this beautiful day! ❤️ ,2023-02-23 08:30:00, LoveSender      , Twitter  ,15.0,30.0, Australia  ,2023,2,45.0,Very Positive
 Amused by the antics of my pet—it's pure amusement!      ,2023-02-23 14:20:00, PetAmuser       , Instagram ,18.0,35.0, UK           ,2023,2,53.0,Positive
 Enjoying every moment of this trip—pure enjoyment!      ,2023-02-23 19:45:00, TravelExplorer  , Facebook ,25.0,50.0, USA ,2023,2,75.0,Very Positive
 Admiring the dedication of volunteers at a local charity. ,2023-02-24 11:30:00, CharityAdmirer  , Twitter  ,20.0,40.0, USA        ,2023,2,60.0,Neutral
 Sending affectionate vibes to friends and family.        ,2023-02-24 16:00:00, FamilyLover     , Instagram ,15.0,30.0,USA,2023,2,45.0,Neutral
 Awe-struck by the beauty of the night sky.               ,2023-02-24 20:30:00, Stargazer       , Facebook ,22.0,45.0, Australia ,2023,2,67.0,Neutral
 Disappointed with the lack of progress in a personal project. ,2023-02-25 09:00:00, ProjectStruggle , Twitter  ,18.0,35.0, India      ,2023,2,53.0,Negative
 A surprise visit from an old friend brought tears of joy. ,2023-02-25 14:45:00, JoyfulReunion   , Instagram ,25.0,50.0, USA          ,2023,2,75.0,Positive
 Embracing acceptance of life's ups and downs.           ,2023-02-25 18:20:00, LifeAcceptance  , Facebook ,15.0,30.0, Canada     ,2023,2,45.0,Neutral
 Overflowing adoration for a cute rescue puppy! 🐶       ,2023-02-26 10:45:00, PuppyAdmirer    , Twitter  ,22.0,45.0, UK         ,2023,2,67.0,Very Positive
 Anticipating the release of a much-awaited movie.       ,2023-02-26 07:30:00, MovieBuff2      , Instagram ,20.0,40.0, Australia    ,2023,2,60.0,Neutral
 Bitter experience at the customer service department.   ,2023-02-26 15:00:00, CustomerWoes    , Facebook ,18.0,35.0, USA       ,2023,2,53.0,Neutral
 Finding calmness amidst the chaos of daily life.        ,2023-02-27 09:30:00, CalmSoul        , Twitter  ,15.0,30.0, India     ,2023,2,45.0,Neutral
 Confusion reigns as I try to make sense of recent events.,2023-02-27 14:20:00, ConfusedMind2   , Instagram ,25.0,50.0, UK   ,2023,2,75.0,Neutral
 Excitement building up for a surprise birthday party.   ,2023-02-27 18:45:00, BirthdayExcite  , Facebook ,22.0,45.0, Canada ,2023,2,67.0,Neutral
 Witnessed an act of kindness that made my day.          ,2023-02-28 11:30:00, KindnessObserver, Twitter  ,20.0,40.0, USA       ,2023,2,60.0,Neutral
 Pride in completing a challenging fitness challenge.    ,2023-02-28 16:00:00, FitAchiever     , Instagram ,30.0,60.0, UK            ,2023,2,90.0,Positive
 A moment of shame for not speaking up against injustice.,2023-02-28 19:45:00, ReflectiveSelf2 , Facebook ,15.0,30.0, India     ,2023,2,45.0,Neutral
 Reflecting on the beauty of diversity in our world.     ,2023-03-01 10:45:00, DiversityLover  , Twitter  ,22.0,45.0, Australia ,2023,3,67.0,Neutral
 Excitement for a quiet evening with a good book.        ,2023-03-01 13:30:00, BookwormJoy     , Instagram ,18.0,35.0, USA          ,2023,3,53.0,Positive
 Feeling bitter about the unfairness in the workplace.   ,2023-03-01 17:45:00, WorkplaceWoes   , Twitter  ,15.0,30.0, Canada    ,2023,3,45.0,Neutral
 Calmness prevails as I practice mindfulness.            ,2023-03-02 18:00:00, MindfulMe       , Facebook ,15.0,30.0, UK        ,2023,3,45.0,Neutral
 Confusion surrounds me as I navigate through life's choices. ,2023-03-02 13:15:00, ConfusedMind3   , Instagram ,30.0,60.0, USA   ,2023,3,90.0,Neutral
 Excitement for a weekend road trip to explore new places. ,2023-03-02 16:45:00, RoadTripper2    , Twitter  ,25.0,50.0, India     ,2023,3,75.0,Positive
 Kindness witnessed today restores my faith in humanity.  ,2023-03-03 11:30:00, KindnessPrevails2, Facebook ,22.0,45.0, USA       ,2023,3,67.0,Neutral
 Pride in accomplishing personal and professional goals.  ,2023-03-03 14:30:00, GoalAchiever    , Instagram ,12.0,25.0, Canada ,2023,3,37.0,Neutral
 Shame for not being true to my values in a difficult situation.,2023-03-03 12:00:00, ReflectiveSelf3 , Twitter  ,15.0,30.0, UK        ,2023,3,45.0,Neutral
" Revisiting old memories, feeling a sense of elation. ",2010-05-15 15:30:00, NostalgiaFan    , Twitter  ,20.0,40.0, Canada    ,2010,5,60.0,Neutral
 The victory of our team brought euphoria to the city. ,2021-08-10 21:15:00, SportsFanatic   , Instagram ,15.0,30.0, USA      ,2021,8,45.0,Neutral
" Embracing the beauty of nature, a moment of contentment. ",2011-06-20 14:45:00, NatureLover2    , Facebook ,25.0,50.0, India       ,2011,6,75.0,Neutral
" Meditating by the serene lake, finding inner peace.   ",2022-02-12 18:20:00, ZenMaster2      , Twitter  ,18.0,35.0, UK          ,2022,2,53.0,Neutral
 Overflowing with gratitude for life's blessings.      ,2012-11-25 10:00:00, ThankfulHeart   , Instagram ,30.0,60.0, Australia   ,2012,11,90.0,Neutral
" Hopeful for a brighter tomorrow, despite challenges.  ",2013-04-05 19:30:00, OptimisticSoul  , Facebook ,22.0,45.0, USA      ,2013,4,67.0,Neutral
 Empowered to make a difference in my community.        ,2014-09-14 08:30:00, CommunityLeader , Twitter  ,15.0,30.0, UK       ,2014,9,45.0,Neutral
 Compassion in action: supporting a local charity event. ,2015-07-18 14:20:00, CharitySupporter, Instagram ,18.0,35.0, Canada ,2015,7,53.0,Positive
" A moment of tenderness, connecting with loved ones.    ",2016-02-23 19:45:00, LovingHeart     , Facebook ,25.0,50.0, UK          ,2016,2,75.0,Very Positive
 Arousal of excitement as I await a special announcement.,2017-10-30 11:30:00, ExcitementFan   , Twitter  ,20.0,40.0, Australia ,2017,10,60.0,Positive
 Enthusiastically diving into a new project.            ,2018-06-15 16:00:00, ProjectEnthusiast, Instagram ,15.0,30.0, USA  ,2018,6,45.0,Positive
 Feeling a sense of fulfillment after reaching a milestone.,2019-03-28 18:20:00, MilestoneAchiever, Facebook ,22.0,45.0, India     ,2019,3,67.0,Neutral
 Reverence for the beauty of a historic landmark.       ,2019-11-11 15:00:00, HistoryLover    , Twitter  ,18.0,35.0, UK      ,2019,11,53.0,Neutral
 Elation after a surprise reunion with old friends.    ,2020-04-02 09:30:00, JoyfulReunion2  , Instagram ,25.0,50.0, Canada      ,2020,4,75.0,Neutral
 The euphoria of a live music concert under the stars.  ,2021-06-19 14:45:00, MusicEnthusiast , Facebook ,15.0,30.0, USA ,2021,6,45.0,Positive
 Contentment in the simplicity of a quiet Sunday.       ,2010-08-15 10:00:00, SimpleJoys      , Twitter  ,30.0,60.0, Australia ,2010,8,90.0,Neutral
 Serenity found in the pages of a favorite book.        ,2011-09-22 19:30:00, BookLover3      , Instagram ,22.0,45.0, UK          ,2011,9,67.0,Positive
 Gratitude for the support received during tough times. ,2012-03-10 08:30:00, SupportiveFriend, Facebook ,15.0,30.0, India     ,2012,3,45.0,Negative
 Hopeful about the possibilities of a new journey.      ,2013-12-05 16:00:00, JourneyOptimist , Twitter  ,18.0,35.0, Canada    ,2013,12,53.0,Positive
 Empowerment through learning and personal growth.      ,2014-07-20 11:30:00, GrowthSeeker    , Instagram ,25.0,50.0,USA,2014,7,75.0,Neutral
 Compassion towards those in need during the holidays.  ,2015-12-22 14:20:00, HolidayHelper   , Facebook ,18.0,35.0, USA      ,2015,12,53.0,Neutral
 Tenderness in the warmth of a cozy winter evening.     ,2016-02-10 19:45:00, WinterWarmth    , Twitter  ,25.0,50.0, UK       ,2016,2,75.0,Negative
 Arousal of excitement for an upcoming adventure.       ,2017-04-30 11:30:00, AdventureAwaits , Instagram ,20.0,40.0, Australia ,2017,4,60.0,Neutral
 Enthusiasm for a creative project in the making.       ,2018-09-15 16:00:00, CreativeSpirit  , Facebook ,15.0,30.0, Canada    ,2018,9,45.0,Positive
 Fulfillment in completing a challenging workout routine.,2019-06-28 18:20:00, FitnessAchiever , Twitter  ,22.0,45.0, India     ,2019,6,67.0,Positive
 Reverence for the artistry displayed in a museum.      ,2020-11-11 15:00:00, ArtAppreciator  , Instagram ,18.0,35.0, UK        ,2020,11,53.0,Neutral
 Elation after achieving a personal goal.               ,2021-03-02 09:30:00, GoalAchiever2   , Facebook ,25.0,50.0, USA      ,2021,3,75.0,Neutral
 Elation over discovering a hidden gem in the city.   ,2012-02-18 14:30:00, UrbanExplorer2  , Twitter  ,20.0,40.0, USA      ,2012,2,60.0,Negative
 The euphoria of a surprise birthday celebration.     ,2018-11-05 21:45:00, BirthdayJoy     , Instagram ,15.0,30.0, UK   ,2018,11,45.0,Neutral
 Contentment in the simplicity of a home-cooked meal. ,2015-09-12 13:20:00, HomeChef        , Facebook ,25.0,50.0, India    ,2015,9,75.0,Neutral
 Serenity found in the melody of a peaceful piano.    ,2016-07-30 18:10:00, MusicLover4     , Twitter  ,18.0,35.0, Canada      ,2016,7,53.0,Positive
 Gratitude for the supportive community around me.    ,2013-04-20 10:30:00, CommunityLove   , Instagram ,30.0,60.0, USA ,2013,4,90.0,Positive
 Hopeful about the prospects of a new business venture.,2017-12-08 19:15:00, EntrepreneurHope, Facebook ,22.0,45.0, Canada    ,2017,12,67.0,Positive
 Empowerment through mentoring and guiding others.    ,2014-06-03 08:20:00, MentorEmpower   , Twitter  ,15.0,30.0, UK       ,2014,6,45.0,Neutral
 Compassion shown through acts of kindness in the community.,2019-01-15 14:50:00, KindnessInAction, Instagram ,18.0,35.0, Australia ,2019,1,53.0,Neutral
 Tenderness in a heartfelt message to a loved one.    ,2016-12-25 19:30:00, LoveExpress     , Facebook ,25.0,50.0, UK          ,2016,12,75.0,Positive
 Arousal of excitement before a much-awaited trip.    ,2018-03-10 09:45:00, TravelExcitement, Twitter  ,20.0,40.0, India    ,2018,3,60.0,Neutral
 Enthusiasm for a new artistic project in the works.  ,2020-09-17 16:30:00, ArtisticSpirit  , Instagram ,15.0,30.0, USA       ,2020,9,45.0,Positive
 Feeling a sense of fulfillment after helping others. ,2011-08-28 18:45:00, HelperHeart     , Facebook ,22.0,45.0, Canada    ,2011,8,67.0,Neutral
 Reverence for the historical significance of a landmark.,2017-11-01 15:30:00, HistoryBuff     , Twitter  ,18.0,35.0, Australia ,2017,11,53.0,Neutral
 Elation after achieving a fitness milestone.         ,2019-06-15 10:00:00, FitnessAchiever2, Instagram ,25.0,50.0, UK           ,2019,6,75.0,Neutral
 The euphoria of a successful product launch.         ,2022-04-03 11:45:00, ProductLaunchJoy, Facebook ,15.0,30.0, USA       ,2022,4,45.0,Very Positive
 Contentment in the embrace of a loved one.           ,2010-11-12 20:20:00, LovingEmbrace   , Twitter  ,30.0,60.0, India    ,2010,11,90.0,Very Positive
 Serenity found in the beauty of a sunset by the sea.  ,2011-07-22 18:30:00, SunsetWatcher2  , Instagram ,22.0,45.0, Canada     ,2011,7,67.0,Neutral
 Gratitude for the small joys that each day brings.   ,2012-03-30 11:20:00, JoyfulHeart2    , Facebook ,15.0,30.0, Australia   ,2012,3,45.0,Negative
 Hopeful about the potential for personal growth.      ,2013-10-05 16:40:00, GrowthOptimist  , Twitter  ,18.0,35.0, UK       ,2013,10,53.0,Neutral
 Empowerment through learning a new skill.            ,2014-07-10 13:15:00, SkillEmpower    , Instagram ,25.0,50.0, India   ,2014,7,75.0,Positive
 Compassion in volunteering for a local charity.       ,2015-12-18 14:20:00, CharityVolunteer, Facebook ,18.0,35.0, USA      ,2015,12,53.0,Neutral
 Tenderness in a quiet moment shared with a pet.      ,2016-02-10 19:45:00, PetLove         , Twitter  ,25.0,50.0, Canada   ,2016,2,75.0,Neutral
 Arousal of excitement for an upcoming festival.       ,2017-09-25 11:30:00, FestivalFan     , Instagram ,20.0,40.0, UK ,2017,9,60.0,Neutral
 Enthusiasm for a DIY home improvement project.       ,2018-04-15 16:00:00, DIYEnthusiast   , Facebook ,15.0,30.0, Australia   ,2018,4,45.0,Neutral
 Fulfillment in completing a challenging puzzle.      ,2019-11-28 18:20:00, PuzzleMaster    , Twitter  ,22.0,45.0, India    ,2019,11,67.0,Positive
 Reverence for the wonders of nature on a hiking trail.,2020-05-11 15:00:00, NatureAdmirer   , Instagram ,18.0,35.0, USA        ,2020,5,53.0,Neutral
 Elation after a surprise reunion with a childhood friend.,2021-02-05 09:30:00, ChildhoodJoy    , Facebook ,25.0,50.0, Canada      ,2021,2,75.0,Neutral
 Suffering from despair after another setback.      ,2021-03-10 08:30:00, StrugglingSoul    , Twitter  ,5.0,10.0, USA          ,2021,3,15.0,Neutral
" Overwhelmed by grief, missing a loved one dearly.  ",2022-07-05 15:45:00, MourningHeart     , Instagram ,8.0,15.0, Canada          ,2022,7,23.0,Negative
 Loneliness creeps in as the night grows colder.    ,2019-11-18 21:20:00, SolitarySoul      , Facebook ,10.0,20.0, UK           ,2019,11,30.0,Neutral
 Jealousy consumes me as I witness others' success. ,2020-08-12 11:30:00, EnviousObserver   , Twitter  ,12.0,25.0, India        ,2020,8,37.0,Positive
 Resentment building up over past betrayals.        ,2018-05-22 14:45:00, BitterHeart       , Instagram ,7.0,15.0, Australia     ,2018,5,22.0,Negative
 Frustration mounts as obstacles block my path.     ,2017-01-30 16:10:00, BlockedGoals      , Facebook ,10.0,20.0, USA          ,2017,1,30.0,Neutral
" Boredom sets in, the day feels endlessly dull.     ",2016-09-28 19:45:00, BoredMind         , Twitter  ,8.0,15.0, Canada        ,2016,9,23.0,Negative
" Anxiety grips my heart, worry clouds my thoughts.  ",2019-04-15 09:00:00, WorriedMind       , Instagram ,12.0,25.0, UK           ,2019,4,37.0,Neutral
 Intimidation by the unknown future ahead.          ,2021-12-03 18:30:00, FearfulSoul       , Facebook ,15.0,30.0, India        ,2021,12,45.0,Neutral
 Helplessness sinks in as challenges pile up.       ,2020-06-20 14:20:00, OverwhelmedHeart  , Twitter  ,8.0,15.0, Australia    ,2020,6,23.0,Neutral
 Envy eats away at me as I see others' prosperity.  ,2018-11-07 11:30:00, CovetousMind     , Instagram ,10.0,20.0, Canada        ,2018,11,30.0,Neutral
 Regret over missed opportunities haunts my thoughts.,2017-08-25 16:00:00, RemorsefulSoul   , Facebook ,12.0,25.0, UK           ,2017,8,37.0,Neutral
 Disgust at the sight of injustice and cruelty.     ,2019-02-11 09:45:00, DisgustedHeart   , Twitter  ,7.0,15.0, India        ,2019,2,22.0,Neutral
" Drowning in despair, hope slipping through my fingers.",2016-04-02 20:20:00, HopelessHeart    , Instagram ,10.0,20.0, USA          ,2016,4,30.0,Neutral
" Grief weighs heavy, tears a constant companion.    ",2015-10-18 15:30:00, TearfulSoul      , Facebook ,12.0,25.0, Canada        ,2015,10,37.0,Negative
" Loneliness in a crowded room, a silent cry for connection.",2019-07-12 18:10:00, IsolatedMind     , Twitter  ,15.0,30.0, UK            ,2019,7,45.0,Neutral
" Jealousy gnaws at my confidence, a toxic emotion.  ",2018-06-03 16:30:00, SelfDoubt        , Instagram ,8.0,15.0, India         ,2018,6,23.0,Neutral
" Resentment festers, poisoning relationships.       ",2022-01-15 12:00:00, BrokenTrust      , Facebook ,10.0,20.0, Australia    ,2022,1,30.0,Neutral
" Frustration boils over, a volcanic eruption of emotions.",2017-04-10 14:45:00, ExplosiveMind    , Twitter  ,12.0,25.0, USA          ,2017,4,37.0,Neutral
" Boredom settles like dust, life feels mundane.     ",2016-11-28 19:00:00, MundaneHeart     , Instagram ,7.0,15.0, Canada        ,2016,11,22.0,Negative
" Anxiety grips my chest, a relentless grip on my thoughts.",2018-09-05 09:30:00, RestlessMind     , Facebook ,10.0,20.0, UK            ,2018,9,30.0,Neutral
" Intimidation by the challenges ahead, fear takes hold.",2021-10-22 18:30:00, FearfulJourney   , Twitter  ,15.0,30.0, India         ,2021,10,45.0,Neutral
